,grp1_mpg
0,24.86055136993334
1,27.42344201857381
2,29.856372078829562
3,25.202667787526426
4,18.446309372563398
5,23.77388882242561
6,25.604826534201703
7,24.34405252201603
8,32.24311856603198
9,24.75717332032787
10,31.247636353806563
11,19.81752556069752
12,32.73327365072139
13,20.127904536421244
14,19.859242575488533
15,25.438305015160847
16,13.106662246389172
17,22.529165424683033
18,11.006929061949378
19,22.62847708635771
20,23.410158699563635
21,28.082783422872648
22,25.25442062533302
23,36.1522742511876
24,22.756432533344203
25,22.34088235470738
26,14.91499616773849
27,18.305135766485595
28,26.60207471342483
29,21.235993447589184
